state,period,cancelled_count,source_document,source_url,table_ref,retrieved_date
Andhra Pradesh,2020 to 22.03.2023,168,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Arunachal Pradesh,2020 to 22.03.2023,2,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Assam,2020 to 22.03.2023,23,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Bihar,2020 to 22.03.2023,122,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Chhattisgarh,2020 to 22.03.2023,4,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Delhi,2020 to 22.03.2023,14,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Goa,2020 to 22.03.2023,73,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Gujarat,2020 to 22.03.2023,4,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Haryana,2020 to 22.03.2023,45,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Himachal Pradesh,2020 to 22.03.2023,9,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
