donor_country,financial_year,total_fc_inr,total_fc_original,original_unit,source_document,source_url,table_ref,retrieved_date,notes
United States of America,2016-17,58693151335.53,"58,69,31,51,335.53",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
India,2016-17,24861872939.04,"24,86,18,72,939.04",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
United Kingdom,2016-17,14784285251.25,"14,78,42,85,251.25",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Germany,2016-17,12939902689.87,"12,93,99,02,689.87",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Switzerland,2016-17,4814622000.89,"4,81,46,22,000.89",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Italy,2016-17,4603543601.09,"4,60,35,43,601.09",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Spain,2016-17,3758892093.78,"3,75,88,92,093.78",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Netherlands,2016-17,3734639702.86,"3,73,46,39,702.86",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Canada,2016-17,3734078109.03,"3,73,40,78,109.03",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
United Arab Emirates,2016-17,2138969238.90,"2,13,89,69,238.90",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Australia,2016-17,2117804468.60,"2,11,78,04,468.60",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
France,2016-17,1926991255.05,"1,92,69,91,255.05",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Austria,2016-17,1371735859.76,"1,37,17,35,859.76",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Belgium,2016-17,1020599654.43,"1,02,05,99,654.43",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Hong Kong,2016-17,931125850.46,"93,11,25,850.46",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Sweden,2016-17,885334225.13,"88,53,34,225.13",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
