state,financial_year,metric,total_fc_inr,total_fc_original,original_unit,reporting_associations,source_document,source_url,table_ref,retrieved_date,notes
Delhi,2009-10,received,18187846000.00,181878.46,lakh,1426,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Tamil Nadu,2009-10,received,16679968000.00,166799.68,lakh,3337,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Andhra Pradesh,2009-10,received,13284741000.00,132847.41,lakh,2629,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Karnataka,2009-10,received,10504620000.00,105046.20,lakh,1613,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Maharashtra,2009-10,received,9267717000.00,92677.17,lakh,1852,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Kerala,2009-10,received,8929850000.00,89298.50,lakh,1687,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
West Bengal,2009-10,received,5606398000.00,56063.98,lakh,1935,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Gujarat,2009-10,received,3942892000.00,39428.92,lakh,1064,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Uttar Pradesh,2009-10,received,2183747000.00,21837.47,lakh,1348,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Orissa,2009-10,received,2146414000.00,21464.14,lakh,1260,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-I: Statewise FC received during 2009-10,2026-09-23,"State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
